X,Y,ogc_fid,fid,osm_id,code,fclass,name
17.0379512,51.097916,1,2,"155479759",5601,railway_station,Wrocław Główny
17.0835373,51.1425485,2,3,"241763683",5601,railway_station,Wrocław Sołtysowice
17.2974306,50.9307485,3,4,"242360270",5601,railway_station,Oława
17.0338875,50.6086503,4,5,"248216807",5601,railway_station,Ziębice
16.8243733,50.530844,5,6,"248216848",5602,railway_halt,Suszka
16.6409188,50.4157003,6,7,"248216912",5602,railway_halt,Kłodzko Książek
16.5762696,50.4051826,7,8,"248216924",5602,railway_halt,Stary Wielisław
16.4859684,51.2156915,8,17,"266565814",5601,railway_station,Malczyce
16.8672785,51.1419618,9,18,"266567525",5601,railway_station,Wrocław Leśnica
17.2950351,51.5273812,10,19,"266913785",5601,railway_station,Milicz
16.9757672,51.0361294,11,26,"295137286",5601,railway_station,Bielany Wrocławskie
17.385924,51.200657,12,27,"295374333",5601,railway_station,Oleśnica
17.4938517,51.1540096,13,28,"295374382",5602,railway_halt,Solniki Wielkie
17.5461214,51.1284443,14,29,"295374533",5601,railway_station,Bierutów
17.2760947,51.1841096,15,30,"295396299",5601,railway_station,Borowa Oleśnicka
16.3027078,50.8163919,16,31,"295966496",5601,railway_station,Wałbrzych Szczawienko
16.7499748,51.0379927,17,32,"295978866",5601,railway_station,Kąty Wrocławskie
16.8246851,51.0560102,18,33,"295979492",5602,railway_halt,Sadowice Wrocławskie
16.8819566,51.0715937,19,34,"295997691",5602,railway_halt,Smolec
16.9540798,51.2161432,20,35,"302207573",5602,railway_halt,Szewce
16.9697587,51.1980793,21,36,"302207879",5602,railway_halt,Wrocław Świniary
17.001416,51.1273621,22,37,"302208350",5602,railway_halt,Wrocław Popowice
16.8656345,51.3383259,23,38,"302219048",5602,railway_halt,Osola
16.907326,51.2996135,24,39,"302221812",5601,railway_station,Oborniki Śląskie
16.9966038,51.1670923,25,40,"302223765",5601,railway_station,Wrocław Osobowice
16.998395,51.1162965,26,41,"302223767",5602,railway_halt,Wrocław Mikołajów
17.1083776,51.1687803,27,42,"358344842",5602,railway_halt,Wrocław Pawłowice
16.654958,50.2968963,28,43,"404736841",5602,railway_halt,Bystrzyca Kłodzka
16.6408355,50.3544202,29,44,"404771752",5601,railway_station,Gorzanów
16.5717897,50.489736,30,45,"410273634",5602,railway_halt,Gorzuchów Kłodzki
15.2229659,51.2901013,31,46,"410697138",5601,railway_station,Węgliniec
16.9164074,51.1261453,32,47,"410701277",5601,railway_station,Wrocław Żerniki
